fips_code,geo_state,geo_county,pop,urbanicity_code
8027,co,custer_county,4249,"Non-core"
8029,co,delta_county,30432,"Non-core"
8031,co,denver_county,634265,"Large central metro"
8033,co,dolores_county,1994,"Non-core"
8035,co,douglas_county,298215,"Large fringe metro"
8037,co,eagle_county,51874,"Micropolitan"
8039,co,elbert_county,23383,"Large fringe metro"
8041,co,el_paso_county,644964,"Medium metro"
8043,co,fremont_county,46788,"Micropolitan"
8045,co,garfield_county,56953,"Micropolitan"
8047,co,gilpin_county,5491,"Large fringe metro"
8049,co,grand_county,14195,"Non-core"
8051,co,gunnison_county,15475,"Non-core"
8053,co,hinsdale_county,810,"Non-core"
8055,co,huerfano_county,6596,"Non-core"
8057,co,jackson_county,1348,"Non-core"
8059,co,jefferson_county,545358,"Large fringe metro"
8061,co,kiowa_county,1444,"Non-core"
8063,co,kit_carson_county,8094,"Non-core"
8065,co,lake_county,7338,"Non-core"
8067,co,la_plata_county,52401,"Micropolitan"
8069,co,larimer_county,310487,"Medium metro"
8071,co,las_animas_county,14945,"Non-core"
8073,co,lincoln_county,5453,"Non-core"
8075,co,logan_county,22631,"Micropolitan"
8077,co,mesa_county,147848,"Small metro"
8079,co,mineral_county,709,"Non-core"
8081,co,moffat_county,13200,"Micropolitan"
8083,co,montezuma_county,25431,"Non-core"
8085,co,montrose_county,40725,"Micropolitan"
8087,co,morgan_county,28472,"Micropolitan"
8089,co,otero_county,18698,"Non-core"
8091,co,ouray_county,4530,"Non-core"
8093,co,park_county,16029,"Large fringe metro"
8095,co,phillips_county,4367,"Non-core"
8097,co,pitkin_county,17263,"Micropolitan"
8099,co,prowers_county,12389,"Non-core"
8101,co,pueblo_county,160852,"Small metro"
8103,co,rio_blanco_county,6857,"Non-core"
8105,co,rio_grande_county,11943,"Non-core"
8107,co,routt_county,23334,"Micropolitan"
8109,co,saguache_county,6304,"Non-core"
8111,co,san_juan_county,690,"Non-core"
8113,co,san_miguel_county,7580,"Non-core"
8115,co,sedgwick_county,2383,"Non-core"
8117,co,summit_county,28044,"Micropolitan"
8119,co,teller_county,23389,"Medium metro"
8121,co,washington_county,4766,"Non-core"
8123,co,weld_county,263691,"Medium metro"
8125,co,yuma_county,10119,"Non-core"
9001,ct,fairfield_county,933835,"Medium metro"
9003,ct,hartford_county,897259,"Large central metro"
9005,ct,litchfield_county,187530,"Micropolitan"
9007,ct,middlesex_county,165602,"Large fringe metro"
9009,ct,new_haven_county,862813,"Medium metro"
9011,ct,new_london_county,274170,"Medium metro"
9013,ct,tolland_county,151539,"Large fringe metro"
9015,ct,windham_county,117599,"Medium metro"
10001,de,kent_county,167626,"Small metro"
10003,de,new_castle_county,546076,"Large fringe metro"
10005,de,sussex_county,203390,"Medium metro"
11001,dc,district_of_columbia,632323,"Large central metro"
12001,fl,alachua_county,251417,"Medium metro"
12003,fl,baker_county,27086,"Large fringe metro"
12005,fl,bay_county,171903,"Small metro"
12007,fl,bradford_county,27049,"Non-core"
12009,fl,brevard_county,547307,"Medium metro"
12011,fl,broward_county,1815137,"Large fringe metro"
12013,fl,calhoun_county,14723,"Non-core"
12015,fl,charlotte_county,162449,"Small metro"
12017,fl,citrus_county,139360,"Small metro"
12019,fl,clay_county,194345,"Large fringe metro"
12021,fl,collier_county,332427,"Medium metro"
12023,fl,columbia_county,67966,"Micropolitan"
12027,fl,desoto_county,34712,"Micropolitan"
12029,fl,dixie_county,16126,"Non-core"
12031,fl,duval_county,879602,"Large central metro"
12033,fl,escambia_county,302715,"Medium metro"
12035,fl,flagler_county,98359,"Medium metro"
12037,fl,franklin_county,11686,"Non-core"
12039,fl,gadsden_county,46528,"Medium metro"
12041,fl,gilchrist_county,16815,"Medium metro"
12043,fl,glades_county,13107,"Non-core"
12045,fl,gulf_county,15718,"Small metro"
12047,fl,hamilton_county,14708,"Non-core"
12049,fl,hardee_county,27514,"Micropolitan"
12051,fl,hendry_county,37447,"Micropolitan"
12053,fl,hernando_county,173422,"Large fringe metro"
12055,fl,highlands_county,98128,"Small metro"
12057,fl,hillsborough_county,1277746,"Large central metro"
12059,fl,holmes_county,19804,"Non-core"
12061,fl,indian_river_county,140567,"Small metro"
12063,fl,jackson_county,48968,"Non-core"
12065,fl,jefferson_county,14256,"Medium metro"
12067,fl,lafayette_county,8804,"Non-core"
12069,fl,lake_county,303186,"Large fringe metro"
12071,fl,lee_county,645293,"Medium metro"
12073,fl,leon_county,283769,"Medium metro"
12075,fl,levy_county,40025,"Non-core"
12077,fl,liberty_county,8276,"Non-core"
12079,fl,madison_county,18907,"Non-core"
12081,fl,manatee_county,333895,"Medium metro"
12083,fl,marion_county,335125,"Medium metro"
12085,fl,martin_county,148817,"Medium metro"
12086,fl,miami-dade_county,2591035,"Large central metro"
12087,fl,monroe_county,74809,"Micropolitan"
12089,fl,nassau_county,74629,"Large fringe metro"
12091,fl,okaloosa_county,190083,"Small metro"
12093,fl,okeechobee_county,39467,"Micropolitan"
12095,fl,orange_county,1202234,"Large central metro"
12097,fl,osceola_county,287416,"Large fringe metro"
12099,fl,palm_beach_county,1356545,"Large fringe metro"
12101,fl,pasco_county,470391,"Large fringe metro"
12103,fl,pinellas_county,921319,"Large central metro"
12105,fl,polk_county,616158,"Medium metro"
12107,fl,putnam_county,73263,"Micropolitan"
12109,fl,st_johns_county,202188,"Large fringe metro"
12111,fl,st_lucie_county,283866,"Medium metro"
12113,fl,santa_rosa_county,158512,"Medium metro"
12115,fl,sarasota_county,386147,"Medium metro"
12117,fl,seminole_county,430838,"Large fringe metro"
12119,fl,sumter_county,101620,"Small metro"
12121,fl,suwannee_county,43656,"Non-core"
12123,fl,taylor_county,22744,"Non-core"
12125,fl,union_county,15212,"Non-core"
12127,fl,volusia_county,496950,"Medium metro"
12129,fl,wakulla_county,30818,"Medium metro"
12131,fl,walton_county,57582,"Small metro"
12133,fl,washington_county,24892,"Non-core"
13001,ga,appling_county,18368,"Non-core"
13003,ga,atkinson_county,8284,"Non-core"
13005,ga,bacon_county,11198,"Non-core"
13007,ga,baker_county,3366,"Small metro"
13009,ga,baldwin_county,46367,"Micropolitan"
13011,ga,banks_county,18316,"Non-core"
13013,ga,barrow_county,70169,"Large fringe metro"
13015,ga,bartow_county,100661,"Large fringe metro"
13017,ga,ben_hill_county,17538,"Micropolitan"
13019,ga,berrien_county,19041,"Non-core"
13021,ga,bibb_county,156462,"Small metro"
13023,ga,bleckley_county,12913,"Non-core"
13025,ga,brantley_county,18587,"Small metro"
13027,ga,brooks_county,15403,"Small metro"
13029,ga,bryan_county,32214,"Medium metro"
13031,ga,bulloch_county,72694,"Micropolitan"
13033,ga,burke_county,23125,"Medium metro"
13035,ga,butts_county,23524,"Large fringe metro"
13037,ga,calhoun_county,6504,"Non-core"
13039,ga,camden_county,51402,"Micropolitan"
13043,ga,candler_county,11117,"Non-core"
13045,ga,carroll_county,111580,"Large fringe metro"
13047,ga,catoosa_county,65046,"Medium metro"
13049,ga,charlton_county,13295,"Non-core"
13051,ga,chatham_county,276434,"Medium metro"
13053,ga,chattahoochee_county,13037,"Medium metro"
13055,ga,chattooga_county,25725,"Micropolitan"
13057,ga,cherokee_county,221315,"Large fringe metro"
13059,ga,clarke_county,120266,"Small metro"
13061,ga,clay_county,3116,"Non-core"
13063,ga,clayton_county,265888,"Large fringe metro"
13065,ga,clinch_county,6718,"Non-core"
13067,ga,cobb_county,707442,"Large fringe metro"
13069,ga,coffee_county,43170,"Micropolitan"
13071,ga,colquitt_county,46137,"Micropolitan"
13073,ga,columbia_county,131627,"Medium metro"
13075,ga,cook_county,16923,"Non-core"
13077,ga,coweta_county,130929,"Large fringe metro"
13079,ga,crawford_county,12600,"Small metro"
13081,ga,crisp_county,23606,"Micropolitan"
13083,ga,dade_county,16490,"Medium metro"
13085,ga,dawson_county,22422,"Large fringe metro"
13087,ga,decatur_county,27509,"Micropolitan"
13089,ga,dekalb_county,707089,"Large fringe metro"
13091,ga,dodge_county,21329,"Non-core"
13093,ga,dooly_county,14318,"Non-core"
13095,ga,dougherty_county,94501,"Small metro"
13097,ga,douglas_county,133971,"Large fringe metro"
13099,ga,early_county,10594,"Non-core"
13101,ga,echols_county,3988,"Small metro"
13103,ga,effingham_county,53293,"Medium metro"
13105,ga,elbert_county,19684,"Non-core"
13107,ga,emanuel_county,22898,"Non-core"
13109,ga,evans_county,10689,"Non-core"
13111,ga,fannin_county,23492,"Non-core"
13113,ga,fayette_county,107524,"Large fringe metro"
13115,ga,floyd_county,96177,"Small metro"
13117,ga,forsyth_county,187928,"Large fringe metro"
13119,ga,franklin_county,21894,"Non-core"
13121,ga,fulton_county,977773,"Large central metro"
13123,ga,gilmer_county,28190,"Non-core"
13125,ga,glascock_county,3142,"Non-core"
13127,ga,glynn_county,81022,"Small metro"
13129,ga,gordon_county,55766,"Micropolitan"
13131,ga,grady_county,25440,"Non-core"
13133,ga,greene_county,16092,"Non-core"
13135,ga,gwinnett_county,842046,"Large fringe metro"
13137,ga,habersham_county,43520,"Micropolitan"
13139,ga,hall_county,185416,"Small metro"
13141,ga,hancock_county,8996,"Micropolitan"
13143,ga,haralson_county,28400,"Large fringe metro"
13145,ga,harris_county,32550,"Medium metro"
13147,ga,hart_county,25518,"Non-core"
13149,ga,heard_county,11633,"Large fringe metro"
13151,ga,henry_county,209053,"Large fringe metro"
13153,ga,houston_county,146136,"Small metro"
13155,ga,irwin_county,9600,"Non-core"
13157,ga,jackson_county,60571,"Micropolitan"
13159,ga,jasper_county,13630,"Large fringe metro"
13161,ga,jeff_davis_county,15156,"Non-core"
13163,ga,jefferson_county,16432,"Non-core"
13165,ga,jenkins_county,9213,"Non-core"
13167,ga,johnson_county,9897,"Micropolitan"
13169,ga,jones_county,28577,"Small metro"
13171,ga,lamar_county,18057,"Large fringe metro"
13173,ga,lanier_county,10400,"Small metro"
13175,ga,laurens_county,48041,"Micropolitan"
13177,ga,lee_county,28746,"Small metro"
13179,ga,liberty_county,65471,"Small metro"
13181,ga,lincoln_county,7737,"Medium metro"
13183,ga,long_county,16048,"Small metro"
13185,ga,lowndes_county,114552,"Small metro"
13187,ga,lumpkin_county,30611,"Non-core"
13189,ga,mcduffie_county,21663,"Medium metro"
13191,ga,mcintosh_county,13839,"Small metro"
13193,ga,macon_county,14263,"Non-core"
13195,ga,madison_county,27922,"Small metro"
13197,ga,marion_county,8711,"Medium metro"
13199,ga,meriwether_county,21273,"Large fringe metro"
13201,ga,miller_county,5969,"Non-core"
13205,ga,mitchell_county,23144,"Non-core"
13207,ga,monroe_county,26637,"Small metro"
13209,ga,montgomery_county,8913,"Micropolitan"
13211,ga,morgan_county,17881,"Large fringe metro"
13213,ga,murray_county,39392,"Small metro"
13215,ga,muscogee_county,198413,"Medium metro"
13217,ga,newton_county,101505,"Large fringe metro"
13219,ga,oconee_county,33619,"Small metro"
13221,ga,oglethorpe_county,14618,"Small metro"
13223,ga,paulding_county,144800,"Large fringe metro"
13225,ga,peach_county,27622,"Small metro"
13227,ga,pickens_county,29268,"Large fringe metro"
13229,ga,pierce_county,18844,"Micropolitan"
13231,ga,pike_county,17810,"Large fringe metro"
13233,ga,polk_county,41188,"Micropolitan"
13235,ga,pulaski_county,11720,"Small metro"
13237,ga,putnam_county,21198,"Non-core"
13239,ga,quitman_county,2404,"Non-core"
13241,ga,rabun_county,16297,"Non-core"
13243,ga,randolph_county,7327,"Non-core"
13245,ga,richmond_county,202587,"Medium metro"
13247,ga,rockdale_county,85820,"Large fringe metro"
13249,ga,schley_county,4990,"Micropolitan"
13251,ga,screven_county,14202,"Non-core"
13253,ga,seminole_county,8947,"Non-core"
13255,ga,spalding_county,63865,"Large fringe metro"
13257,ga,stephens_county,25891,"Micropolitan"
13259,ga,stewart_county,6042,"Non-core"
13261,ga,sumter_county,31554,"Micropolitan"
13263,ga,talbot_county,6517,"Non-core"
13265,ga,taliaferro_county,1680,"Non-core"
13267,ga,tattnall_county,25384,"Non-core"
13269,ga,taylor_county,8420,"Non-core"
13271,ga,telfair_county,16349,"Non-core"
13273,ga,terrell_county,9045,"Small metro"
13275,ga,thomas_county,44724,"Micropolitan"
13277,ga,tift_county,41064,"Micropolitan"
13279,ga,toombs_county,27315,"Micropolitan"
13281,ga,towns_county,10495,"Non-core"
13283,ga,treutlen_county,6769,"Non-core"
13285,ga,troup_county,68468,"Micropolitan"
13287,ga,turner_county,8410,"Non-core"
13289,ga,twiggs_county,8447,"Small metro"
13291,ga,union_county,21451,"Non-core"
13293,ga,upson_county,26630,"Micropolitan"
13295,ga,walker_county,68094,"Medium metro"
13297,ga,walton_county,84575,"Large fringe metro"
13299,ga,ware_county,35821,"Micropolitan"
13301,ga,warren_county,5578,"Non-core"
13303,ga,washington_county,20879,"Non-core"
13305,ga,wayne_county,30305,"Micropolitan"
13307,ga,webster_county,2793,"Non-core"
13309,ga,wheeler_county,7888,"Non-core"
13311,ga,white_county,27556,"Non-core"
13313,ga,whitfield_county,103359,"Small metro"
13315,ga,wilcox_county,9068,"Non-core"
13317,ga,wilkes_county,10076,"Non-core"
13319,ga,wilkinson_county,9577,"Non-core"
13321,ga,worth_county,21741,"Small metro"
15001,hi,hawaii_county,189191,"Micropolitan"
15003,hi,honolulu_county,976372,"Medium metro"
15005,hi,kalawao_county,90,"Small metro"
15007,hi,kauai_county,68434,"Micropolitan"
15009,hi,maui_county,158226,"Small metro"
16001,id,ada_county,409061,"Medium metro"
16003,id,adams_county,3915,"Non-core"
16005,id,bannock_county,83800,"Small metro"
16007,id,bear_lake_county,5907,"Non-core"
16009,id,benewah_county,9117,"Non-core"
16011,id,bingham_county,45474,"Micropolitan"
16013,id,blaine_county,21146,"Micropolitan"
16015,id,boise_county,6835,"Medium metro"
16017,id,bonner_county,40476,"Micropolitan"
16019,id,bonneville_county,106684,"Small metro"
16021,id,boundary_county,10808,"Non-core"
16023,id,butte_county,2740,"Small metro"
16025,id,camas_county,1077,"Micropolitan"
16027,id,canyon_county,193888,"Medium metro"
16029,id,caribou_county,6787,"Non-core"
16031,id,cassia_county,23249,"Micropolitan"
16033,id,clark_county,869,"Non-core"
16035,id,clearwater_county,8590,"Non-core"
16037,id,custer_county,4331,"Non-core"
16039,id,elmore_county,26223,"Micropolitan"
16041,id,franklin_county,12786,"Small metro"
16043,id,fremont_county,12957,"Micropolitan"
16045,id,gem_county,16673,"Medium metro"
16047,id,gooding_county,15291,"Non-core"
16049,id,idaho_county,16308,"Non-core"
16051,id,jefferson_county,26684,"Small metro"
16053,id,jerome_county,22499,"Micropolitan"
16055,id,kootenai_county,142357,"Small metro"
16057,id,latah_county,38184,"Micropolitan"
16059,id,lemhi_county,7758,"Non-core"
16061,id,lewis_county,3889,"Non-core"
16063,id,lincoln_county,5277,"Micropolitan"
16065,id,madison_county,37456,"Micropolitan"
16067,id,minidoka_county,20037,"Micropolitan"
16069,id,nez_perce_county,39531,"Small metro"
16071,id,oneida_county,4215,"Non-core"
16073,id,owyhee_county,11439,"Medium metro"
16075,id,payette_county,22639,"Micropolitan"
16077,id,power_county,7778,"Non-core"
16079,id,shoshone_county,12702,"Non-core"
16081,id,teton_county,10052,"Micropolitan"
16083,id,twin_falls_county,78595,"Micropolitan"
16085,id,valley_county,9545,"Non-core"
16087,id,washington_county,10099,"Non-core"
17001,il,adams_county,67197,"Micropolitan"
17003,il,alexander_county,7748,"Small metro"
17005,il,bond_county,17644,"Large fringe metro"
17007,il,boone_county,53940,"Medium metro"
17009,il,brown_county,6914,"Non-core"
17011,il,bureau_county,34323,"Micropolitan"
17013,il,calhoun_county,5014,"Large fringe metro"
17015,il,carroll_county,15011,"Non-core"
